shipment_id,shipment_date,product_id,product_category,sku_group,supplier_id,supplier_name,supplier_country,supplier_region,business_unit,priority_level,origin_port,origin_country,origin_lat,origin_lng,destination_port,destination_country,destination_lat,destination_lng,route_key,route_distance_km,transport_mode,carrier_name,expected_time_hours,actual_time_hours,delay_hours,port_congestion_origin,port_congestion_destination,customs_clearance_hours,inventory_level,safety_stock_level,units_sold_7d,demand_volatility,fuel_price_index,temperature_control_required,order_value_usd,shipment_status
SHP_0001,2026-03-23 03:00:00,1003,MedTech,Critical Devices,SUP_006,WestCoast Devices,United States,North America,Risk,High,Los Angeles Port,United States,33.7361,-118.2631,Hamburg Port,Germany,53.5461,9.9661,Los Angeles Port|Hamburg Port,11110,Ocean,MSC,449.59,463.07,13.48,0.3537,0.2486,29.05,558,93,133,0.2676,1.2491,N,198854.84,customs_hold
SHP_0002,2026-01-12 18:00:00,1001,Pharma,Cold Chain,SUP_001,Nippon Biologics,Japan,Asia,Logistics,Medium,Yokohama Port,Japan,35.4437,139.638,Hamburg Port,Germany,53.5461,9.9661,Yokohama Port|Hamburg Port,10981,Ocean,MSC,375.31,375.31,0.0,0.2509,0.442,9.94,517,132,438,0.3431,1.2138,Y,62419.79,delivered
SHP_0003,2026-01-26 22:00:00,1004,Digital Health,High Value,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,High,Bremerhaven Port,Germany,53.5396,8.5809,Hamburg Port,Germany,53.5461,9.9661,Bremerhaven Port|Hamburg Port,800,Ocean,Maersk,217.31,224.19,6.88,0.0848,0.3579,17.19,574,100,378,0.2372,1.1529,N,216700.58,delivered
SHP_0004,2026-02-24 10:00:00,1002,MedTech,Temperature Sensitive,SUP_002,Hanse Med Systems,Germany,Europe,Operations,Low,Bremerhaven Port,Germany,53.5396,8.5809,Los Angeles Port,United States,33.7361,-118.2631,Bremerhaven Port|Los Angeles Port,11036,Ocean,Hapag-Lloyd,323.01,327.49,4.48,0.3264,0.1658,14.65,508,225,383,0.3814,1.1633,N,272282.19,delivered
SHP_0005,2026-02-15 11:00:00,1006,Consumables,Bulk,SUP_001,Nippon Biologics,Japan,Asia,Operations,Critical,Kobe Port,Japan,34.6901,135.1955,Los Angeles Port,United States,33.7361,-118.2631,Kobe Port|Los Angeles Port,11263,Ocean,Maersk,319.96,344.51,24.55,0.1536,0.3055,16.46,390,157,449,0.6885,1.2121,N,210796.05,delivered
SHP_0006,2026-03-12 09:00:00,1002,MedTech,Temperature Sensitive,SUP_005,SinoHealth Components,China,Asia,Operations,High,Shanghai Port,China,31.2304,121.4737,Hamburg Port,Germany,53.5461,9.9661,Shanghai Port|Hamburg Port,10399,Ocean,Maersk,460.17,484.14,23.97,0.2021,0.1863,20.07,465,143,320,0.44,1.2035,N,190474.67,customs_hold
SHP_0007,2026-01-13 12:00:00,1006,Consumables,Bulk,SUP_004,Gujarat CareForm,India,Asia,Logistics,Medium,Mumbai Port,India,18.9497,72.8356,Los Angeles Port,United States,33.7361,-118.2631,Mumbai Port|Los Angeles Port,17128,Ocean,MSC,419.89,421.6,1.71,0.3096,0.0444,18.42,702,213,434,0.3367,1.4017,N,95888.94,delivered
SHP_0008,2026-02-04 22:00:00,1006,Consumables,Bulk,SUP_005,SinoHealth Components,China,Asia,Operations,Low,Shenzhen Port,China,22.5431,114.0579,Los Angeles Port,United States,33.7361,-118.2631,Shenzhen Port|Los Angeles Port,14226,Ocean,MSC,374.59,374.59,0.0,0.1854,0.1623,7.15,394,165,437,0.1885,1.1862,N,258428.57,delivered
SHP_0009,2026-03-23 22:00:00,1003,MedTech,Critical Devices,SUP_006,WestCoast Devices,United States,North America,Logistics,Medium,Newark Port,United States,40.6895,-74.1745,Busan Port,South Korea,35.1028,129.0403,Newark Port|Busan Port,13725,Ocean,Maersk,319.96,343.27,23.31,0.0617,0.2357,21.65,566,147,563,0.4007,1.2067,N,219393.22,in_transit
SHP_0010,2026-01-09 06:00:00,1006,Consumables,Bulk,SUP_002,Hanse Med Systems,Germany,Europe,Logistics,Low,Bremerhaven Port,Germany,53.5396,8.5809,Hamburg Port,Germany,53.5461,9.9661,Bremerhaven Port|Hamburg Port,800,Ocean,CMA CGM,302.12,342.58,40.46,0.0959,0.3662,16.28,564,217,341,0.3643,1.1122,N,343210.15,delivered
