port_key,port_id,port_name,country,latitude,longitude,harbor_size,harbor_type,max_vessel
shakotan_ru,61090,Shakotan,Ru,43.866667,146.833333,V,CN,
mombetsu_ko_jp,61110,Mombetsu Ko,Jp,44.35,143.35,V,CB,
charlottetown_ca,5750,Charlottetown,Ca,46.233333,-63.133333,S,CN,L
abashiri_ko_jp,61120,Abashiri Ko,Jp,44.016667,144.283333,S,CB,M
nemuro_ko_jp,61130,Nemuro Ko,Jp,43.333333,145.583333,S,CB,M
hanasaki_ko_jp,61140,Hanasaki Ko,Jp,43.283333,145.583333,V,CB,L
kushiro_ko_jp,61160,Kushiro Ko,Jp,42.983333,144.366667,M,CB,L
tomakomai_ko_jp,61165,Tomakomai Ko,Jp,42.633333,141.633333,S,CB,L
muroran_ko_jp,61170,Muroran Ko,Jp,42.35,140.966667,M,CN,L
mori_jp,61180,Mori,Jp,42.116667,140.583333,V,OR,M
gopalpur_in,49500,Gopalpur,In,19.25,84.916667,S,CB,
el_ghardaqa_eg,47990,El Ghardaqa,Eg,27.216667,33.85,V,CN,
ras_shukhier_eg,48015,Ras Shukhier,Eg,28.133333,33.283333,M,OR,M
ras_gharib_eg,48020,Ras Gharib,Eg,28.35,33.1,V,OR,M
as_suways_eg,48040,As Suways,Eg,29.966667,32.55,L,CB,M
el_adabiya_eg,48045,El-Adabiya,Eg,29.866667,32.466667,S,CN,L
el_ismailiya_eg,48050,El Ismailiya,Eg,30.583333,32.283333,S,LC,L
ras_abu_zanimah_eg,48060,Ras Abu Zanimah,Eg,29.033333,33.116667,S,CN,L
wadi_feiran_eg,48065,Wadi Feiran,Eg,28.75,33.2,S,OR,M
elat_il,48076,Elat,Il,29.55,34.95,S,CN,L
al_aqabah_jo,48090,Al Aqabah,Jo,29.516667,35.0,V,OR,M
yanbu_sa,48120,Yanbu,Sa,24.083333,38.05,V,CB,M
jiddah_sa,48140,Jiddah,Sa,21.483333,39.183333,S,CB,M
jizan_sa,48142,Jizan,Sa,16.9,42.483333,S,CB,M
simonstown_za,46780,Simonstown,Za,-34.183333,18.433333,V,CB,M
mossel_bay_za,46800,Mossel Bay,Za,-34.183333,22.15,S,CB,M
port_elizabeth_za,46820,Port Elizabeth,Za,-33.966667,25.616667,M,CB,M
belfast_gb,33770,Belfast,Gb,54.616667,-5.9,L,RB,L
larne_gb,33790,Larne,Gb,54.85,-5.8,S,CN,L
coleraine_gb,33820,Coleraine,Gb,55.133333,-6.666667,S,RN,M
londonderry_gb,33830,Londonderry,Gb,55.0,-7.316667,M,RN,L
ornsay_gb,33060,Ornsay,Gb,57.15,-5.8,V,CN,M
buckie_harbor_gb,32290,Buckie Harbor,Gb,57.683333,-2.966667,V,CB,M
lossiemouth_gb,32300,Lossiemouth,Gb,57.716667,-3.283333,V,CB,M
burghead_gb,32320,Burghead,Gb,57.7,-3.5,V,CN,M
inverness_gb,32330,Inverness,Gb,57.483333,-4.233333,S,RN,M
cromarty_gb,32340,Cromarty,Gb,57.683333,-4.033333,S,CB,M
invergordon_gb,32350,Invergordon,Gb,57.683333,-4.166667,S,OR,L
portmahomack_harbor_gb,32360,Portmahomack Harbor,Gb,57.833333,-3.833333,S,CB,
helmsdale_harbor_gb,32370,Helmsdale Harbor,Gb,58.116667,-3.65,S,CB,M
wick_gb,32380,Wick,Gb,58.433333,-3.083333,S,CB,M
pierowall_gb,32410,Pierowall,Gb,59.3,-2.983333,S,CN,
kettletoft_gb,32420,Kettletoft,Gb,59.233333,-2.6,V,CN,
whitehall_gb,32430,Whitehall,Gb,59.133333,-2.6,V,CN,
kirkwall_gb,32440,Kirkwall,Gb,58.983333,-2.966667,V,CB,M
stromness_gb,32450,Stromness,Gb,58.966667,-3.3,V,OR,M
south_ness_gb,32460,South Ness,Gb,58.8,-3.2,V,CN,
st_margarets_hope_gb,32470,St Margarets Hope,Gb,58.833333,-2.95,V,CN,
lyness_gb,32490,Lyness,Gb,58.833333,-3.2,M,CN,
scapa_bay_gb,32500,Scapa Bay,Gb,58.95,-2.983333,S,CN,L
chicago_us,4800,Chicago,Us,41.883333,-87.6,M,CT,L
wilmette_us,4810,Wilmette,Us,42.083333,-87.683333,V,CB,M
great_lakes_us,4820,Great Lakes,Us,42.3,-87.833333,V,CB,M
waukegan_us,4830,Waukegan,Us,42.366667,-87.816667,S,CB,M
kenosha_us,4840,Kenosha,Us,42.583333,-87.816667,V,CB,M
racine_us,4850,Racine,Us,42.733333,-87.783333,S,CB,M
milwaukee_us,4860,Milwaukee,Us,43.033333,-87.883333,M,RN,M
port_washington_us,4870,Port Washington,Us,43.383333,-87.866667,S,CB,M
sheboygan_us,4880,Sheboygan,Us,43.75,-87.7,S,RN,M
manitowoc_us,4890,Manitowoc,Us,44.1,-87.65,M,RN,L
port_hope_us,4380,Port Hope,Us,43.95,-82.7,V,OR,L
bay_city_us,4400,Bay City,Us,43.6,-83.866667,S,RN,M
sarnia_ca,3700,Sarnia,Ca,42.983333,-82.416667,S,RN,L
point_edward_ca,3710,Point Edward,Ca,43.0,-82.416667,S,RN,L
goderich_ca,3730,Goderich,Ca,43.75,-81.733333,S,CB,L
port_elgin_ca,3750,Port Elgin,Ca,44.433333,-81.4,V,CB,M
southampton_ca,3760,Southampton,Ca,44.5,-81.383333,V,CB,M
tobermory_ca,3770,Tobermory,Ca,45.266667,-81.666667,V,CN,M
lions_head_ca,3790,Lions Head,Ca,44.983333,-81.25,V,CB,M
wiarton_ca,3810,Wiarton,Ca,44.75,-81.133333,V,CN,M
owen_sound_ca,3860,Owen Sound,Ca,44.583333,-80.933333,S,RN,L
